name|value
intercept|-2.5704195499420166
age = 28.0|0.29350629448890686
exposure = 1.0|0.0
famsize = 2.0|0.22662974894046783
anylimit = 0.0|-0.146978959441185
college = 1.0|0.03373613581061363
educ = 0.0|-0.033567603677511215
gender = 0.0|0.18204860389232635
income = 0.0|-0.3908217251300812
indusclass = 9.0|0.08437275886535645
insure = 1.0|0.05067369341850281
managedcare = 0.0|0.14602212607860565
maristat = 1.0|0.16849404573440552
mnhpoor = 0.0|-0.002926444634795189
phstat = 0.0|-0.3263126611709595
race = 4.0|-0.09016028791666031
region = 3.0|-0.2358342409133911
unemploy = 1.0|0.2946352958679199
usc = 0.0|0.0769379734992981
