name|value
intercept|13723.05859375
age = 28.0|-4676.580078125
exposure = 1.0|20.21527671813965
famsize = 2.0|926.4872436523438
anylimit = 0.0|-588.5696411132812
college = 1.0|1.5321320295333862
educ = 0.0|-1791.7030029296875
gender = 0.0|-1901.003173828125
income = 0.0|369.95318603515625
indusclass = 9.0|-8.606332778930664
insure = 1.0|10.73638916015625
managedcare = 0.0|786.4271850585938
maristat = 1.0|-1017.9952392578125
mnhpoor = 0.0|-3.011178493499756
phstat = 0.0|-255.65463256835938
race = 4.0|-366.8721008300781
region = 3.0|-2251.502685546875
unemploy = 1.0|2427.205810546875
usc = 0.0|-123.91393280029297
